case_id,activity_id,time_stamp,product_id
456,2,2023-09-24 09:49:05,456
463,2,2023-09-24 09:49:25,463
470,2,2023-09-24 09:49:45,470
477,2,2023-09-24 09:50:05,477
484,2,2023-09-24 09:50:25,484
491,2,2023-09-24 09:50:45,491
498,2,2023-09-24 09:51:05,498
505,2,2023-09-24 09:51:25,505
512,2,2023-09-24 09:51:45,512
519,2,2023-09-24 09:52:05,519
526,2,2023-09-24 09:52:25,526
533,2,2023-09-24 09:52:45,533
540,2,2023-09-24 09:53:05,540
547,2,2023-09-24 09:53:25,547
554,2,2023-09-24 09:53:45,554
561,2,2023-09-24 09:54:05,561
568,2,2023-09-24 09:54:25,568
575,2,2023-09-24 09:54:45,575
582,2,2023-09-24 09:55:05,582
589,2,2023-09-24 09:55:25,589
596,2,2023-09-24 09:55:45,596
603,2,2023-09-24 09:56:05,603
610,2,2023-09-24 09:56:25,610
617,2,2023-09-24 09:56:45,617
624,2,2023-09-24 09:57:05,624
631,2,2023-09-24 09:57:25,631
638,2,2023-09-24 09:57:45,638
645,2,2023-09-24 09:58:05,645
652,2,2023-09-24 09:58:25,652
659,2,2023-09-24 09:58:45,659
666,2,2023-09-24 09:59:05,666
673,2,2023-09-24 09:59:25,673
680,2,2023-09-24 09:59:45,680
687,2,2023-09-24 10:00:05,687
694,2,2023-09-24 10:00:25,694
701,2,2023-09-24 10:00:45,701
708,2,2023-09-24 10:01:05,708
715,2,2023-09-24 10:01:25,715
722,2,2023-09-24 10:01:45,722
729,2,2023-09-24 10:02:05,729
736,2,2023-09-24 10:02:25,736
743,2,2023-09-24 10:02:45,743
750,2,2023-09-24 10:03:05,750
757,2,2023-09-24 10:03:25,757
764,2,2023-09-24 10:03:45,764
771,2,2023-09-24 10:04:05,771
778,2,2023-09-24 10:04:25,778
785,2,2023-09-24 10:04:45,785
792,2,2023-09-24 10:05:05,792
799,2,2023-09-24 10:05:25,799
806,2,2023-09-24 10:05:45,806
813,2,2023-09-24 10:06:05,813
820,2,2023-09-24 10:06:25,820
827,2,2023-09-24 10:06:45,827
834,2,2023-09-24 10:07:05,834
841,2,2023-09-24 10:07:25,841
848,2,2023-09-24 10:07:45,848
855,2,2023-09-24 10:08:05,855
862,2,2023-09-24 10:08:25,862
869,2,2023-09-24 10:08:45,869
876,2,2023-09-24 10:09:05,876
883,2,2023-09-24 10:09:25,883
890,2,2023-09-24 10:09:45,890
897,2,2023-09-24 10:10:05,897
904,2,2023-09-24 10:10:25,904
911,2,2023-09-24 10:10:45,911
918,2,2023-09-24 10:11:05,918
925,2,2023-09-24 10:11:25,925
932,2,2023-09-24 10:11:45,932
939,2,2023-09-24 10:12:05,939
946,2,2023-09-24 10:12:25,946
953,2,2023-09-24 10:12:45,953
960,2,2023-09-24 10:13:05,960
967,2,2023-09-24 10:13:25,967
974,2,2023-09-24 10:13:45,974
981,2,2023-09-24 10:14:05,981
988,2,2023-09-24 10:14:25,988
995,2,2023-09-24 10:14:45,995
1002,2,2023-09-24 10:15:05,1002
1009,2,2023-09-24 10:15:25,1009
1016,2,2023-09-24 10:15:45,1016
1023,2,2023-09-24 10:16:05,1023
1030,2,2023-09-24 10:16:25,1030
1037,2,2023-09-24 10:16:45,1037
1044,2,2023-09-24 10:17:05,1044
1051,2,2023-09-24 10:17:25,1051
1058,2,2023-09-24 10:17:45,1058
1065,2,2023-09-24 10:18:05,1065
1072,2,2023-09-24 10:18:25,1072
1079,2,2023-09-24 10:18:45,1079
1086,2,2023-09-24 10:19:05,1086
1093,2,2023-09-24 10:19:25,1093
1100,2,2023-09-24 10:19:45,1100
1107,2,2023-09-24 10:20:05,1107
1114,2,2023-09-24 10:20:25,1114
3,6,2023-09-24 09:30:45,3
10,6,2023-09-24 09:30:55,10
17,6,2023-09-24 09:31:05,17
24,6,2023-09-24 09:31:15,24
31,6,2023-09-24 09:31:25,31
38,6,2023-09-24 09:31:35,38
45,6,2023-09-24 09:31:45,45
52,6,2023-09-24 09:31:55,52
59,6,2023-09-24 09:32:05,59
66,6,2023-09-24 09:32:15,66
73,6,2023-09-24 09:32:25,73
80,6,2023-09-24 09:32:35,80
87,6,2023-09-24 09:32:45,87
94,6,2023-09-24 09:32:55,94
101,6,2023-09-24 09:33:05,101
108,6,2023-09-24 09:33:15,108
115,6,2023-09-24 09:33:25,115
122,6,2023-09-24 09:33:35,122
129,6,2023-09-24 09:33:45,129
136,6,2023-09-24 09:33:55,136
143,6,2023-09-24 09:34:05,143
150,6,2023-09-24 09:34:25,150
157,6,2023-09-24 09:34:45,157
164,6,2023-09-24 09:35:05,164
171,6,2023-09-24 09:35:25,171
178,6,2023-09-24 09:35:45,178
185,6,2023-09-24 09:36:05,185
192,6,2023-09-24 09:36:25,192
199,6,2023-09-24 09:36:45,199
206,6,2023-09-24 09:37:05,206
213,6,2023-09-24 09:37:25,213
220,6,2023-09-24 09:37:45,220
227,6,2023-09-24 09:38:05,227
234,6,2023-09-24 09:38:25,234
241,6,2023-09-24 09:38:45,241
248,6,2023-09-24 09:39:05,248
255,6,2023-09-24 09:39:25,255
262,6,2023-09-24 09:39:45,262
269,6,2023-09-24 09:40:05,269
276,6,2023-09-24 09:40:25,276
283,6,2023-09-24 09:40:45,283
290,6,2023-09-24 09:41:05,290
297,6,2023-09-24 09:41:25,297
304,6,2023-09-24 09:41:45,304
311,6,2023-09-24 09:42:05,311
318,6,2023-09-24 09:42:25,318
325,6,2023-09-24 09:42:45,325
332,6,2023-09-24 09:43:05,332
339,6,2023-09-24 09:43:25,339
346,6,2023-09-24 09:43:45,346
353,6,2023-09-24 09:44:05,353
360,6,2023-09-24 09:44:25,360
367,6,2023-09-24 09:44:45,367
374,6,2023-09-24 09:45:05,374
381,6,2023-09-24 09:45:25,381
388,6,2023-09-24 09:45:45,388
395,6,2023-09-24 09:46:05,395
402,6,2023-09-24 09:46:25,402
409,6,2023-09-24 09:46:45,409
416,6,2023-09-24 09:47:05,416
423,6,2023-09-24 09:47:25,423
430,6,2023-09-24 09:47:45,430
437,6,2023-09-24 09:48:05,437
444,6,2023-09-24 09:48:25,444
451,6,2023-09-24 09:48:45,451
458,6,2023-09-24 09:49:05,458
465,6,2023-09-24 09:49:25,465
472,6,2023-09-24 09:49:45,472
479,6,2023-09-24 09:50:05,479
486,6,2023-09-24 09:50:25,486
493,6,2023-09-24 09:50:45,493
500,6,2023-09-24 09:51:05,500
507,6,2023-09-24 09:51:25,507
514,6,2023-09-24 09:51:45,514
521,6,2023-09-24 09:52:05,521
528,6,2023-09-24 09:52:25,528
535,6,2023-09-24 09:52:45,535
542,6,2023-09-24 09:53:05,542
549,6,2023-09-24 09:53:25,549
556,6,2023-09-24 09:53:45,556
563,6,2023-09-24 09:54:05,563
570,6,2023-09-24 09:54:25,570
577,6,2023-09-24 09:54:45,577
584,6,2023-09-24 09:55:05,584
591,6,2023-09-24 09:55:25,591
598,6,2023-09-24 09:55:45,598
605,6,2023-09-24 09:56:05,605
612,6,2023-09-24 09:56:25,612
619,6,2023-09-24 09:56:45,619
626,6,2023-09-24 09:57:05,626
633,6,2023-09-24 09:57:25,633
640,6,2023-09-24 09:57:45,640
647,6,2023-09-24 09:58:05,647
654,6,2023-09-24 09:58:25,654
661,6,2023-09-24 09:58:45,661
668,6,2023-09-24 09:59:05,668
675,6,2023-09-24 09:59:25,675
682,6,2023-09-24 09:59:45,682
689,6,2023-09-24 10:00:05,689
696,6,2023-09-24 10:00:25,696
703,6,2023-09-24 10:00:45,703
710,6,2023-09-24 10:01:05,710
717,6,2023-09-24 10:01:25,717
724,6,2023-09-24 10:01:45,724
731,6,2023-09-24 10:02:05,731
738,6,2023-09-24 10:02:25,738
745,6,2023-09-24 10:02:45,745
752,6,2023-09-24 10:03:05,752
759,6,2023-09-24 10:03:25,759
766,6,2023-09-24 10:03:45,766
773,6,2023-09-24 10:04:05,773
780,6,2023-09-24 10:04:25,780
787,6,2023-09-24 10:04:45,787
794,6,2023-09-24 10:05:05,794
801,6,2023-09-24 10:05:25,801
808,6,2023-09-24 10:05:45,808
815,6,2023-09-24 10:06:05,815
822,6,2023-09-24 10:06:25,822
829,6,2023-09-24 10:06:45,829
836,6,2023-09-24 10:07:05,836
843,6,2023-09-24 10:07:25,843
850,6,2023-09-24 10:07:45,850
857,6,2023-09-24 10:08:05,857
864,6,2023-09-24 10:08:25,864
871,6,2023-09-24 10:08:45,871
878,6,2023-09-24 10:09:05,878
885,6,2023-09-24 10:09:25,885
892,6,2023-09-24 10:09:45,892
899,6,2023-09-24 10:10:05,899
906,6,2023-09-24 10:10:25,906
913,6,2023-09-24 10:10:45,913
920,6,2023-09-24 10:11:05,920
927,6,2023-09-24 10:11:25,927
934,6,2023-09-24 10:11:45,934
941,6,2023-09-24 10:12:05,941
948,6,2023-09-24 10:12:25,948
955,6,2023-09-24 10:12:45,955
962,6,2023-09-24 10:13:05,962
969,6,2023-09-24 10:13:25,969
976,6,2023-09-24 10:13:45,976
983,6,2023-09-24 10:14:05,983
990,6,2023-09-24 10:14:25,990
997,6,2023-09-24 10:14:45,997
1004,6,2023-09-24 10:15:05,1004
1011,6,2023-09-24 10:15:25,1011
1018,6,2023-09-24 10:15:45,1018
1025,6,2023-09-24 10:16:05,1025
1032,6,2023-09-24 10:16:25,1032
1039,6,2023-09-24 10:16:45,1039
1046,6,2023-09-24 10:17:05,1046
1053,6,2023-09-24 10:17:25,1053
1060,6,2023-09-24 10:17:45,1060
1067,6,2023-09-24 10:18:05,1067
1074,6,2023-09-24 10:18:25,1074
1081,6,2023-09-24 10:18:45,1081
1088,6,2023-09-24 10:19:05,1088
1095,6,2023-09-24 10:19:25,1095
1102,6,2023-09-24 10:19:45,1102
1109,6,2023-09-24 10:20:05,1109
1116,6,2023-09-24 10:20:25,1116
5,8,2023-09-24 09:30:45,5
12,8,2023-09-24 09:30:55,12
19,8,2023-09-24 09:31:05,19
26,8,2023-09-24 09:31:15,26
33,8,2023-09-24 09:31:25,33
40,8,2023-09-24 09:31:35,40
47,8,2023-09-24 09:31:45,47
54,8,2023-09-24 09:31:55,54
61,8,2023-09-24 09:32:05,61
68,8,2023-09-24 09:32:15,68
75,8,2023-09-24 09:32:25,75
82,8,2023-09-24 09:32:35,82
89,8,2023-09-24 09:32:45,89
96,8,2023-09-24 09:32:55,96
103,8,2023-09-24 09:33:05,103
110,8,2023-09-24 09:33:15,110
117,8,2023-09-24 09:33:25,117
124,8,2023-09-24 09:33:35,124
131,8,2023-09-24 09:33:45,131
138,8,2023-09-24 09:33:55,138
145,8,2023-09-24 09:34:05,145
152,8,2023-09-24 09:34:25,152
159,8,2023-09-24 09:34:45,159
166,8,2023-09-24 09:35:05,166
173,8,2023-09-24 09:35:25,173
180,8,2023-09-24 09:35:45,180
187,8,2023-09-24 09:36:05,187
194,8,2023-09-24 09:36:25,194
201,8,2023-09-24 09:36:45,201
208,8,2023-09-24 09:37:05,208
215,8,2023-09-24 09:37:25,215
222,8,2023-09-24 09:37:45,222
229,8,2023-09-24 09:38:05,229
236,8,2023-09-24 09:38:25,236
243,8,2023-09-24 09:38:45,243
250,8,2023-09-24 09:39:05,250
257,8,2023-09-24 09:39:25,257
264,8,2023-09-24 09:39:45,264
271,8,2023-09-24 09:40:05,271
278,8,2023-09-24 09:40:25,278
285,8,2023-09-24 09:40:45,285
292,8,2023-09-24 09:41:05,292
299,8,2023-09-24 09:41:25,299
306,8,2023-09-24 09:41:45,306
313,8,2023-09-24 09:42:05,313
320,8,2023-09-24 09:42:25,320
327,8,2023-09-24 09:42:45,327
334,8,2023-09-24 09:43:05,334
341,8,2023-09-24 09:43:25,341
348,8,2023-09-24 09:43:45,348
355,8,2023-09-24 09:44:05,355
362,8,2023-09-24 09:44:25,362
369,8,2023-09-24 09:44:45,369
376,8,2023-09-24 09:45:05,376
383,8,2023-09-24 09:45:25,383
390,8,2023-09-24 09:45:45,390
397,8,2023-09-24 09:46:05,397
404,8,2023-09-24 09:46:25,404
411,8,2023-09-24 09:46:45,411
418,8,2023-09-24 09:47:05,418
425,8,2023-09-24 09:47:25,425
432,8,2023-09-24 09:47:45,432
439,8,2023-09-24 09:48:05,439
446,8,2023-09-24 09:48:25,446
453,8,2023-09-24 09:48:45,453
460,8,2023-09-24 09:49:05,460
467,8,2023-09-24 09:49:25,467
474,8,2023-09-24 09:49:45,474
481,8,2023-09-24 09:50:05,481
488,8,2023-09-24 09:50:25,488
495,8,2023-09-24 09:50:45,495
502,8,2023-09-24 09:51:05,502
509,8,2023-09-24 09:51:25,509
516,8,2023-09-24 09:51:45,516
523,8,2023-09-24 09:52:05,523
530,8,2023-09-24 09:52:25,530
537,8,2023-09-24 09:52:45,537
544,8,2023-09-24 09:53:05,544
551,8,2023-09-24 09:53:25,551
558,8,2023-09-24 09:53:45,558
565,8,2023-09-24 09:54:05,565
572,8,2023-09-24 09:54:25,572
579,8,2023-09-24 09:54:45,579
586,8,2023-09-24 09:55:05,586
593,8,2023-09-24 09:55:25,593
600,8,2023-09-24 09:55:45,600
607,8,2023-09-24 09:56:05,607
614,8,2023-09-24 09:56:25,614
621,8,2023-09-24 09:56:45,621
628,8,2023-09-24 09:57:05,628
635,8,2023-09-24 09:57:25,635
642,8,2023-09-24 09:57:45,642
649,8,2023-09-24 09:58:05,649
656,8,2023-09-24 09:58:25,656
663,8,2023-09-24 09:58:45,663
670,8,2023-09-24 09:59:05,670
677,8,2023-09-24 09:59:25,677
